tank,body mass ,Total Length,SVL,Head Width,Mid Width,Tail Width,Tail Height,clutch,rack,ba,cond,impact,ud,switched,alternate
20,0.62,1.786,1.023,0.272,0.192,0.129,0.296,e,b,before,low,c,c,n,beforelow
20,0.63,1.806,1.038,0.298,0.224,0.165,0.261,e,b,before,low,c,c,n,beforelow
20,0.62,1.711,1.06,0.29,0.2,0.135,0.288,e,b,before,low,c,c,n,beforelow
20,0.63,1.762,1,0.254,0.194,0.132,0.28,e,b,before,low,c,c,n,beforelow
20,0.58,1.713,1.025,0.292,0.203,0.138,0.289,e,b,before,low,c,c,n,beforelow
20,0.62,2.015,1.144,0.292,0.216,0.108,0.256,e,b,after,low,c,c,n,afterlow
20,0.51,2.107,1.152,0.326,0.222,0.128,0.201,e,b,after,low,c,c,n,afterlow
20,0.41,1.888,1.18,0.259,0.175,0.103,0.194,e,b,after,low,c,c,n,afterlow
20,0.46,1.71,0.988,0.261,0.164,0.113,0.168,e,b,after,low,c,c,n,afterlow
20,0.58,1.735,1.056,0.283,0.193,0.11,0.217,e,b,after,low,c,c,n,afterlow
20,0.46,1.942,1.056,0.26,0.16,0.095,0.235,e,b,after,low,c,c,n,afterlow
20,0.53,1.884,1.109,0.29,0.19,0.165,0.244,e,b,after,low,c,c,n,afterlow
21,0.64,1.688,1.022,0.246,0.209,0.117,0.209,d,b,after,high,c,c,n,afterhigh
21,0.57,2.024,1.221,0.284,0.248,0.119,0.187,d,b,after,high,c,c,n,afterhigh
