tank,switched,1st.0.5,2nd.0.5,3rd.0.5,avg.05,speed.5,1st.1,2nd.1,3rd.1,speed.1,diff,first.dist,bursts,clutch,rack,ba,cond,impact,ud,alternate
16,n,5.588,2.25,3.302,3.713333333,7.426666667,13.208,7.62,8.382,9.736666667,2.31,66.04,4,a,b,before,low,c,c,beforelow
16,n,9.652,10.24,6.096,8.662666667,17.32533333,18.542,16.002,11.43,15.32466667,-2.000666667,25.4,4,a,b,before,low,c,c,beforelow
16,n,6.604,1.96,,4.282,8.564,13.716,12.192,,12.954,4.39,57.658,2,a,b,after,low,c,c,afterlow
16,n,0.762,,,0.762,1.524,8.89,,,8.89,7.366,98.298,1,a,b,after,low,c,c,afterlow
16,n,3.302,1.21,2.286,2.266,4.532,6.35,6.35,5.08,5.926666667,1.394666667,39.37,5,a,b,after,low,c,c,afterlow
16,n,4.826,,,4.826,9.652,10.922,,,10.922,1.27,96.266,1,a,b,after,low,c,c,afterlow
16,n,3.81,1.69,0.508,2.002666667,4.005333333,6.096,7.112,2.54,5.249333333,1.244,7.62,5,a,b,after,low,c,c,afterlow
16,n,1.524,4.84,2.032,2.798666667,5.597333333,3.81,9.398,9.652,7.62,2.022666667,18.034,4,a,b,after,low,c,c,afterlow
16,n,3.302,0.25,6.35,3.300666667,6.601333333,5.842,2.286,11.684,6.604,0.002666667,10.922,3,a,b,after,low,c,c,afterlow
16,n,6.35,7.29,0.508,4.716,9.432,11.684,13.208,2.794,9.228666667,-0.203333333,28.194,3,a,b,after,low,c,c,afterlow
17,y,10.414,6.76,3.302,6.825333333,13.65066667,13.462,15.494,6.604,11.85333333,-1.797333333,17.526,4,b,b,before,high,c,c,beforehigh
17,y,8.128,7.84,,7.984,15.968,11.938,8.89,7.366,9.398,-6.57,16.51,4,b,b,before,high,c,c,beforehigh
17,y,6.858,6.25,,6.554,13.108,11.43,12.954,,12.192,-0.916,49.53,2,b,b,before,high,c,c,beforehigh
17,y,6.35,9.61,,7.98,15.96,13.716,12.192,,12.954,-3.006,52.578,2,b,b,before,high,c,c,beforehigh
17,y,3.302,4.41,4.826,4.179333333,8.358666667,7.874,12.192,8.636,9.567333333,1.208666667,8.89,3,b,b,before,high,c,c,beforehigh
17,y,11.43,16.81,,14.12,28.24,17.018,14.732,,15.875,-12.365,43.434,2,b,b,before,high,c,c,beforehigh
17,y,6.858,,,6.858,13.716,10.414,,,10.414,-3.302,105.41,1,b,b,after,low,i,down,afterlow
17,y,4.826,1.96,,3.393,6.786,9.906,5.842,,7.874,1.088,67.818,2,b,b,after,low,i,down,afterlow
17,y,9.906,,,9.906,19.812,20.574,,,20.574,0.762,103.886,1,b,b,after,low,i,down,afterlow
17,y,8.636,6.76,7.366,7.587333333,15.17466667,13.97,12.192,14.224,13.462,-1.712666667,24.384,3,b,b,after,low,i,down,afterlow
19,n,4.826,4,,4.413,8.826,12.192,10.668,,11.43,2.604,23.368,3,d,b,before,high,c,c,beforehigh
19,n,8.89,1.69,,5.29,10.58,18.034,7.366,,12.7,2.12,50.8,3,d,b,before,high,c,c,beforehigh
19,n,2.794,0.16,,1.477,2.954,7.112,4.826,,5.969,3.015,33.02,3,d,b,before,high,c,c,beforehigh
19,n,10.922,3.61,,7.266,14.532,18.796,9.398,,14.097,-0.435,56.896,3,d,b,before,high,c,c,beforehigh
19,n,5.588,,,5.588,11.176,12.954,,,12.954,1.778,71.882,2,d,b,before,high,c,c,beforehigh
19,n,4.318,4,4.064,4.127333333,8.254666667,10.16,10.414,9.398,9.990666667,1.736,20.32,4,d,b,before,high,c,c,beforehigh
19,n,5.334,2.25,2.794,3.459333333,6.918666667,10.668,6.604,7.62,8.297333333,1.378666667,23.622,4,d,b,after,high,c,c,afterhigh
19,n,5.588,1.69,2.794,3.357333333,6.714666667,10.922,5.08,5.08,7.027333333,0.312666667,40.386,3,d,b,after,high,c,c,afterhigh
19,n,4.826,1.21,4.318,3.451333333,6.902666667,9.398,4.572,8.382,7.450666667,0.548,18.796,4,d,b,after,high,c,c,afterhigh
20,n,2.286,2.89,5.08,3.418666667,6.837333333,6.096,10.922,8.89,8.636,1.798666667,28.702,5,e,b,before,low,c,c,beforelow
20,n,3.81,7.84,6.096,5.915333333,11.83066667,8.128,12.7,11.43,10.75266667,-1.078,8.128,6,e,b,before,low,c,c,beforelow
20,n,3.302,3.24,4.6228,3.7216,7.4432,7.112,11.684,10.668,9.821333333,2.378133333,7.112,5,e,b,before,low,c,c,beforelow
20,n,3.556,3.24,2.54,3.112,6.224,7.874,9.398,7.112,8.128,1.904,22.606,4,e,b,before,low,c,c,beforelow
20,n,6.604,8.41,9.652,8.222,16.444,10.668,12.446,24.384,15.83266667,-0.611333333,10.668,4,e,b,before,low,c,c,beforelow
20,n,6.604,1,4.572,4.058666667,8.117333333,12.954,5.08,10.16,9.398,1.280666667,25.654,4,e,b,before,low,c,c,beforelow
20,n,9.144,,,9.144,18.288,17.526,,,17.526,-0.762,105.156,1,e,b,after,low,c,c,afterlow
20,n,3.81,3.24,4.826,3.958666667,7.917333333,8.128,8.382,9.144,8.551333333,0.634,31.75,4,e,b,after,low,c,c,afterlow
20,n,3.048,2.89,5.588,3.842,7.684,4.572,7.366,9.652,7.196666667,-0.487333333,5.08,5,e,b,after,low,c,c,afterlow
20,n,3.81,6.25,0.254,3.438,6.876,4.826,13.716,1.524,6.688666667,-0.187333333,5.08,4,e,b,after,low,c,c,afterlow
20,n,4.826,2.89,7.366,5.027333333,10.05466667,9.398,8.382,10.414,9.398,-0.656666667,18.542,6,e,b,after,low,c,c,afterlow
20,n,5.842,2.25,2.032,3.374666667,6.749333333,11.176,7.874,5.842,8.297333333,1.548,24.892,6,e,b,after,low,c,c,afterlow
21,n,2.286,2.56,3.302,2.716,5.432,4.064,8.128,6.858,6.35,0.918,7.62,6,d,b,after,high,c,c,afterhigh
21,n,2.54,0.81,1.27,1.54,3.08,7.366,3.556,3.81,4.910666667,1.830666667,36.068,3,d,b,after,high,c,c,afterhigh
